tahun,bulan,kota_kabupaten,kecamatan,kelurahan,jenis_kelamin ,jumlah
2021,02,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Laki-Laki,1
2021,02,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Laki-Laki,1
2021,02,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Laki-Laki,0
2021,02,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Laki-Laki,2
2021,02,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Laki-Laki,0
2021,02,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Laki-Laki,0
2021,02,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,0
2021,02,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,6
2021,02,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,13
2021,02,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,8
2021,02,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,2
2021,02,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,4
2021,02,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,1
2021,02,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,5
2021,02,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,4
2021,02,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,4
2021,02,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,14
2021,02,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,12
2021,02,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,14
2021,02,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,1
2021,02,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,9
2021,02,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,6
2021,02,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,23
2021,02,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,15
2021,02,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,7
2021,02,JAKARTA PUSAT,S E N E N,SENEN,Laki-Laki,5
2021,02,JAKARTA PUSAT,S E N E N,KENARI,Laki-Laki,2
2021,02,JAKARTA PUSAT,S E N E N,PASEBAN,Laki-Laki,12
2021,02,JAKARTA PUSAT,S E N E N,KRAMAT,Laki-Laki,19
2021,02,JAKARTA PUSAT,S E N E N,KWITANG,Laki-Laki,7
2021,02,JAKARTA PUSAT,S E N E N,BUNGUR,Laki-Laki,11
2021,02,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,8
2021,02,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,17
2021,02,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,27
2021,02,JAKARTA PUSAT,MENTENG,MENTENG,Laki-Laki,13
2021,02,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-Laki,8
2021,02,JAKARTA PUSAT,MENTENG,CIKINI,Laki-Laki,2
2021,02,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-Laki,1
2021,02,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-Laki,5
2021,02,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-Laki,0
